# Entry Date,Exit Date,Entry Abs,Exit Abs,Entry Z,Exit Z,Time Held,Weight,ADF,PnL %,PnL Abs,Outcome,Exit Reason
2020-11-03,2020-12-14,89.32700,63.14400,1.17,-0.36,31,1.00,0.4063,29.311,26.18300,win,Time Stop 
2021-01-08,2021-02-18,50.64700,52.66400,-1.48,-0.64,31,1.00,0.6268,3.982,2.01700,win,Time Stop 
2021-01-18,2021-02-26,53.64000,48.60400,-1.14,-0.91,31,1.00,0.5218,-9.389,-5.03600,loss,Time Stop 
2021-01-19,2021-03-01,54.24000,47.96700,-1.05,-0.94,31,1.00,0.6122,-11.565,-6.27300,loss,Time Stop 
2021-01-20,2021-03-02,52.04700,45.88700,-1.23,-1.12,31,1.00,0.6230,-11.835,-6.16000,loss,Time Stop 
2021-02-05,2021-03-18,51.98700,56.19200,-1.02,-0.06,31,1.00,0.6068,8.089,4.20500,win,Time Stop 
2021-02-12,2021-03-25,46.41300,62.02700,-1.43,0.47,31,1.00,0.6422,33.641,15.61400,win,Time Stop 
2021-02-15,2021-03-26,49.47200,59.40000,-1.09,0.21,31,1.00,0.6510,20.068,9.92800,win,Time Stop 
2021-02-16,2021-03-29,43.99300,55.33200,-1.54,-0.18,31,1.00,0.6960,25.775,11.33900,win,Time Stop 
2021-02-17,2021-03-30,47.44500,53.43400,-1.16,-0.34,31,1.00,0.7027,12.623,5.98900,win,Time Stop 
2021-02-25,2021-04-07,46.08000,56.32200,-1.08,-0.05,31,1.00,0.6172,22.227,10.24200,win,Time Stop 
2021-04-15,2021-05-05,46.79800,46.98900,-1.00,-0.75,16,1.00,0.0326,0.408,0.19100,win,Time Stop 
2021-04-22,2021-05-12,47.11000,51.01800,-1.02,-0.33,16,1.00,0.0192,8.295,3.90800,win,Time Stop 
2021-05-03,2021-05-28,47.32900,47.72500,-1.13,-1.04,21,1.00,0.0048,0.837,0.39600,win,Time Stop 
2021-05-04,2021-05-31,47.41700,46.36700,-1.09,-1.21,21,1.00,0.0046,-2.214,-1.05000,loss,Time Stop 
2021-05-05,2021-06-01,43.79500,53.58100,-1.58,-0.10,21,1.00,0.0028,22.345,9.78600,win,Time Stop 
2021-05-06,2021-06-02,46.98900,56.20800,-1.06,0.29,21,1.00,0.0035,19.619,9.21900,win,Time Stop 
2021-05-18,2021-08-09,59.92400,56.80700,1.04,0.34,61,1.00,0.0043,5.202,3.11700,win,Time Stop 
2021-05-20,2021-08-11,60.60000,58.17800,1.10,0.55,61,1.00,0.0071,3.997,2.42200,win,Time Stop 
2021-05-27,2021-08-18,63.24800,61.99000,1.47,1.08,61,1.00,0.0001,1.989,1.25800,win,Time Stop 
2021-05-31,2021-08-20,47.72500,59.52300,-1.17,0.61,61,1.00,0.0000,24.721,11.79800,win,Time Stop 
2021-06-01,2021-08-23,46.36700,63.01200,-1.35,1.17,61,1.00,0.0000,35.898,16.64500,win,Time Stop 
2021-06-08,2021-08-30,61.69000,45.94900,1.28,-1.80,61,1.00,0.0000,25.516,15.74100,win,Time Stop 
2021-06-11,2021-07-08,43.61000,65.73600,-1.91,1.75,21,1.00,0.0000,50.736,22.12600,win,Time Stop 
2021-06-22,2021-08-02,63.29900,60.04800,1.60,1.07,31,1.00,0.0000,5.136,3.25100,win,Time Stop 
2021-06-23,2021-08-03,64.10900,52.29900,1.68,-0.40,31,1.00,0.0000,18.422,11.81000,win,Time Stop 
2021-07-01,2021-08-11,49.02900,58.17800,-1.21,0.66,31,1.00,0.0001,18.660,9.14900,win,Time Stop 
2021-07-05,2021-07-12,49.70100,68.40600,-1.02,2.31,7,1.00,0.0001,37.635,18.70500,win,Time Stop 
2021-07-06,2021-07-13,60.37700,66.43900,1.06,1.85,7,1.00,0.0000,-10.040,-6.06200,loss,Time Stop 
2021-07-07,2021-07-14,65.39700,64.60800,1.96,1.41,7,1.00,0.0001,1.206,0.78900,win,Time Stop 
2021-07-08,2021-07-15,65.70100,57.41200,1.92,0.01,7,1.00,0.0002,12.616,8.28900,win,Time Stop 
2021-07-09,2021-07-16,65.73600,55.94900,1.84,-0.26,7,1.00,0.0002,14.888,9.78700,win,Time Stop 
2021-07-12,2021-07-19,68.16200,54.73600,2.18,-0.46,7,1.00,0.0005,19.697,13.42600,win,Time Stop 
2021-07-13,2021-07-20,68.40600,49.63000,2.11,-1.34,7,1.00,0.0006,27.448,18.77600,win,Time Stop 
2021-07-14,2021-07-21,66.43900,47.38800,1.67,-1.67,7,1.00,0.0005,28.674,19.05100,win,Time Stop 
2021-07-15,2021-07-22,64.60800,46.33200,1.29,-1.79,7,1.00,0.0003,28.288,18.27600,win,Time Stop 
2021-07-21,2021-07-28,49.63000,45.59400,-1.32,-1.66,7,1.00,0.0002,-8.132,-4.03600,loss,Time Stop 
2021-07-22,2021-07-29,47.38800,44.89400,-1.65,-1.72,7,1.00,0.0004,-5.263,-2.49400,loss,Time Stop 
2021-07-23,2021-07-30,46.33200,45.59900,-1.76,-1.53,7,1.00,0.0008,-1.582,-0.73300,loss,Time Stop 
2021-07-26,2021-09-03,47.82900,53.73400,-1.44,-0.25,31,1.00,0.0008,12.346,5.90500,win,Time Stop 
2021-07-27,2021-09-06,42.59200,55.01200,-2.24,-0.03,31,1.00,0.0028,29.160,12.42000,win,Time Stop 
2021-07-28,2021-08-24,43.14900,59.77900,-2.05,0.59,21,1.00,0.0031,38.541,16.63000,win,Time Stop 
2021-07-29,2021-08-25,45.59400,65.10000,-1.57,1.44,21,1.00,0.0027,42.782,19.50600,win,Time Stop 
2021-07-30,2021-08-26,44.89400,55.63400,-1.62,-0.15,21,1.00,0.0035,23.923,10.74000,win,Time Stop 
2021-08-02,2021-08-27,45.59900,49.81400,-1.45,-1.09,21,1.00,0.0038,9.244,4.21500,win,Time Stop 
2021-08-18,2021-08-30,66.56100,45.94900,1.90,-1.73,10,1.00,0.0009,30.967,20.61200,win,Time Stop 
2021-08-19,2021-09-10,61.99000,33.84500,1.08,-3.43,18,1.00,0.0005,45.402,28.14500,win,Take Profit - Std
2021-08-24,2021-09-10,63.01200,33.84500,1.17,-3.41,15,1.00,0.0006,46.288,29.16700,win,Take Profit - Std
2021-08-26,2021-09-10,65.10000,33.84500,1.47,-3.42,13,1.00,0.0006,48.011,31.25500,win,Take Profit - Std
2021-08-30,2021-09-07,49.81400,49.00100,-1.13,-1.03,8,1.00,0.0003,-1.632,-0.81300,loss,Time Stop 
2021-08-31,2021-09-08,45.94900,49.23200,-1.72,-0.95,8,1.00,0.0006,7.145,3.28300,win,Time Stop 
2021-09-01,2021-09-09,48.49300,43.39000,-1.23,-1.87,8,1.00,0.0005,-10.523,-5.10300,loss,Time Stop 
2021-09-02,2021-09-10,48.57200,33.84500,-1.17,-3.36,8,1.00,0.0005,-30.320,-14.72700,loss,Time Stop 
2021-09-03,2021-09-23,47.34700,37.45400,-1.33,-2.20,16,1.00,0.0007,-20.895,-9.89300,loss,Time Stop 
2021-09-08,2021-09-21,49.00100,35.99300,-1.00,-2.59,11,1.00,0.0004,-26.546,-13.00800,loss,Time Stop 
2021-09-10,2021-09-22,43.39000,40.60600,-1.84,-1.74,10,1.00,0.0008,-6.416,-2.78400,loss,Time Stop 
2021-09-13,2021-09-23,33.84500,37.45400,-3.17,-2.09,10,1.00,0.0064,10.663,3.60900,win,Time Stop 
2021-09-14,2021-09-24,36.00300,35.79100,-2.64,-2.20,10,1.00,0.0057,-0.589,-0.21200,loss,Time Stop 
2021-09-15,2021-09-27,40.68800,31.90000,-1.82,-2.66,10,1.00,0.0029,-21.599,-8.78800,loss,Time Stop 
2021-09-17,2021-09-29,44.01400,43.57100,-1.23,-0.83,10,1.00,0.0017,-1.006,-0.44300,loss,Time Stop 
2021-09-21,2021-11-05,44.20200,68.03500,-1.14,3.15,35,1.00,0.0017,53.918,23.83300,win,Take Profit - Std
2021-09-22,2021-11-05,35.99300,68.03500,-2.21,3.07,34,1.00,0.0047,89.023,32.04200,win,Take Profit - Std
2021-09-23,2021-10-13,40.60600,40.01900,-1.48,-0.48,16,1.00,0.0028,-1.446,-0.58700,loss,Time Stop 
2021-09-24,2021-10-14,37.45400,37.90700,-1.82,-0.74,16,1.00,0.0047,1.209,0.45300,win,Time Stop 
2021-09-27,2021-10-22,35.79100,57.21200,-1.94,1.84,21,1.00,0.0070,59.850,21.42100,win,Time Stop 
2021-09-28,2021-10-25,31.90000,60.85000,-2.31,2.18,21,1.00,0.0150,90.752,28.95000,win,Time Stop 
2021-10-01,2021-10-28,33.77400,40.91500,-1.89,-0.37,21,1.00,0.0057,21.143,7.14100,win,Time Stop 
2021-10-04,2021-10-29,26.13000,46.12800,-2.64,0.27,21,1.00,0.0191,76.533,19.99800,win,Time Stop 
2021-10-05,2021-11-01,23.98500,52.73200,-2.67,0.99,21,1.00,0.0325,119.854,28.74700,win,Time Stop 
2021-10-06,2021-11-02,17.99600,62.29800,-3.06,1.91,21,1.00,0.0894,246.177,44.30200,win,Time Stop 
2021-10-07,2021-11-03,21.67700,61.34200,-2.47,1.67,21,1.00,0.0548,182.982,39.66500,win,Time Stop 
2021-10-08,2021-11-04,25.39700,65.89900,-1.95,2.01,21,1.00,0.0369,159.476,40.50200,win,Time Stop 
2021-10-11,2021-11-19,27.21200,69.57600,-1.66,1.69,31,1.00,0.0325,155.681,42.36400,win,Time Stop 
2021-10-12,2021-11-22,33.29100,71.06800,-1.02,1.75,31,1.00,0.0207,113.475,37.77700,win,Time Stop 
2021-10-25,2021-12-03,57.21200,95.31700,1.29,3.30,31,1.00,0.0330,-66.603,-38.10500,loss,Time Stop 
2021-10-26,2021-12-06,60.85000,84.09200,1.58,2.15,31,1.00,0.0511,-38.196,-23.24200,loss,Time Stop 
2021-11-03,2021-12-14,62.29800,80.83200,1.64,1.40,31,1.00,0.0298,-29.751,-18.53400,loss,Time Stop 
2021-11-04,2021-12-15,61.34200,72.73900,1.50,0.62,31,1.00,0.0309,-18.579,-11.39700,loss,Time Stop 
2021-11-05,2021-12-16,65.89900,69.75500,1.85,0.33,31,1.00,0.0572,-5.851,-3.85600,loss,Time Stop 
2021-11-08,2021-12-17,68.03500,62.67600,1.96,-0.32,31,1.00,0.0814,7.877,5.35900,win,Time Stop 
2021-11-09,2021-12-20,67.70200,59.95300,1.85,-0.54,31,1.00,0.0877,11.446,7.74900,win,Time Stop 
2021-11-10,2021-12-21,62.89200,53.98600,1.37,-1.05,31,1.00,0.0615,14.161,8.90600,win,Time Stop 
2021-11-11,2021-12-22,62.82800,53.07400,1.32,-1.10,31,1.00,0.0665,15.525,9.75400,win,Time Stop 
2021-11-12,2021-12-23,65.26000,47.11500,1.48,-1.57,31,1.00,0.0866,27.804,18.14500,win,Time Stop 
2021-11-15,2021-12-24,65.08300,50.35900,1.40,-1.23,31,1.00,0.0892,22.623,14.72400,win,Time Stop 
2021-11-16,2021-12-27,69.22000,45.32900,1.70,-1.61,31,1.00,0.1252,34.515,23.89100,win,Time Stop 
2021-11-17,2021-12-28,71.97800,46.02400,1.86,-1.48,31,1.00,0.1619,36.058,25.95400,win,Time Stop 
2021-11-18,2021-12-29,66.88200,46.99200,1.35,-1.34,31,1.00,0.1141,29.739,19.89000,win,Time Stop 
2021-11-19,2021-12-30,67.64400,47.23000,1.36,-1.26,31,1.00,0.1254,30.179,20.41400,win,Time Stop 
2021-11-22,2021-12-31,69.57600,49.70800,1.46,-1.00,31,1.00,0.1507,28.556,19.86800,win,Time Stop 
2021-11-23,2022-01-03,71.06800,52.69000,1.53,-0.72,31,1.00,0.1710,25.860,18.37800,win,Time Stop 
2021-11-24,2022-01-04,68.03600,48.49900,1.22,-1.03,31,1.00,0.1499,28.716,19.53700,win,Time Stop 
2021-11-25,2022-01-05,79.50300,48.83600,2.07,-0.95,31,1.00,0.2949,38.573,30.66700,win,Time Stop 
2021-11-26,2022-01-06,73.11200,41.67700,1.47,-1.48,31,1.00,0.2033,42.996,31.43500,win,Time Stop 
2021-11-29,2022-01-07,82.23200,37.36200,2.10,-1.73,31,1.00,0.3329,54.565,44.87000,win,Time Stop 
2021-11-30,2022-01-10,88.60800,50.59100,2.44,-0.63,31,1.00,0.4733,42.905,38.01700,win,Time Stop 
2021-12-01,2022-01-11,81.45200,56.78200,1.79,-0.15,31,1.00,0.3049,30.288,24.67000,win,Time Stop 
2021-12-02,2022-01-12,79.61400,46.90300,1.57,-0.85,31,1.00,0.2778,41.087,32.71100,win,Time Stop 
2021-12-03,2022-01-13,86.18900,31.15300,1.94,-1.91,31,1.00,0.3794,63.855,55.03600,win,Time Stop 
2021-12-06,2022-01-14,95.31700,42.52800,2.43,-1.01,31,1.00,0.5648,55.383,52.78900,win,Time Stop 
2021-12-07,2022-01-17,84.09200,30.09700,1.56,-1.79,31,1.00,0.3072,64.209,53.99500,win,Time Stop 
2021-12-08,2022-01-18,86.19700,31.50300,1.62,-1.61,31,1.00,0.3313,63.452,54.69400,win,Time Stop 
2021-12-09,2022-01-19,82.63600,34.46600,1.31,-1.34,31,1.00,0.2821,58.292,48.17000,win,Time Stop 
2021-12-10,2022-01-20,90.67200,46.44100,1.75,-0.51,31,1.00,0.3770,48.781,44.23100,win,Time Stop 
2021-12-13,2022-01-21,91.17200,53.19900,1.68,-0.07,31,1.00,0.3817,41.650,37.97300,win,Time Stop 
2021-12-14,2022-01-24,83.92000,51.64100,1.16,-0.16,31,1.00,0.2817,38.464,32.27900,win,Time Stop 
2021-12-24,2022-02-03,47.11500,49.73500,-1.07,-0.08,31,1.00,0.3225,5.561,2.62000,win,Time Stop 
2021-12-28,2022-02-07,45.32900,42.05800,-1.12,-0.53,31,1.00,0.3305,-7.216,-3.27100,loss,Time Stop 
2021-12-29,2022-02-08,46.02400,47.66000,-1.04,-0.18,31,1.00,0.3198,3.555,1.63600,win,Time Stop 
2022-01-07,2022-02-17,41.67700,33.97000,-1.12,-0.87,31,1.00,0.3549,-18.492,-7.70700,loss,Time Stop 
2022-01-10,2022-02-18,37.36200,31.72900,-1.34,-0.97,31,1.00,0.4140,-15.077,-5.63300,loss,Time Stop 
2022-01-14,2022-02-24,31.15300,29.14900,-1.62,-1.02,31,1.00,0.4114,-6.433,-2.00400,loss,Time Stop 
2022-01-18,2022-02-28,30.09700,21.49400,-1.58,-1.39,31,1.00,0.3910,-28.584,-8.60300,loss,Time Stop 
2022-01-19,2022-03-01,31.50300,42.35200,-1.43,-0.12,31,1.00,0.3703,34.438,10.84900,win,Time Stop 
